                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3613,                 1.2393,                 1.4421,                0.82611,                0.85805,                 0.9103,                0.55404,                 1.2955,                0.92657,                 1.4028,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.3467,                 1.2485,                  1.438,                0.87107,                 0.8807,                0.92976,                0.53495,                 1.3067,                0.93138,                 1.4356,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.3461,                 1.2448,                 1.4159,                0.87084,                 0.8566,                0.91957,                 0.5571,                 1.3025,                0.92589,                 1.4267,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.3581,                  1.239,                 1.4203,                0.88666,                0.85289,                0.92845,                0.56622,                  1.254,                0.93775,                 1.3831,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.3289,                 1.2366,                 1.4162,                0.86585,                0.85685,                0.92009,                0.56201,                 1.2612,                0.91258,                  1.369,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.3439,                  1.209,                 1.4142,                0.87321,                0.84349,                0.91712,                 0.5481,                 1.2981,                0.94706,                 1.4274,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.3328,                 1.2037,                 1.4122,                0.86549,                0.86083,                0.93278,                0.56732,                 1.2822,                 0.9115,                 1.4062,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3193,                 1.2063,                 1.4154,                0.85086,                0.88431,                0.94485,                0.57328,                 1.2662,                0.86408,                 1.3819,              0.0010234,              0.0010234,              0.0010234
                     42,                  1.286,                 1.1635,                 1.3881,                0.83723,                0.87364,                0.92144,                0.56116,                 1.2568,                0.89366,                 1.4037,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.2795,                 1.1889,                 1.3881,                0.88132,                0.84386,                0.92241,                0.57304,                 1.2556,                0.86813,                 1.3672,             0.00099036,             0.00099036,             0.00099036
